Category,Filename,Average Frequency (Hz),Max Amplitude
MidRipe,1,229.04761905571428,87.11942276214286
MidRipe,2,723.0303030636363,41.80601623181818
MidRipe,3,711.5686274558823,89.766105725
MidRipe,4,704.8717948846153,57.57567112461538
MidRipe,5,407.5,33.9063446925
MidRipe,6,242.77777777833333,44.988534888333334
MidRipe,7,710.7246376826087,54.34799928695652
MidRipe,8,807.5757576090909,69.57212830636364
MidRipe,9,708.95833331875,61.17419968625
MidRipe,10,864.7222220833333,56.54697434583333
Ripe,21,579.87654322,116.56288852592591
Ripe,22,524.2857142761904,79.42907668619048
Ripe,23,289.09090909,53.785427333181815
Ripe,24,306.000000005,98.749801925
Ripe,25,462.4242424363636,84.55748348181818
Ripe,26,361.00000003,75.968295899
Ripe,27,331.38888890000004,81.0710824375
Ripe,28,216.44444445333332,111.863220013
Unripe,12,706.2962963111111,74.9041287488889
Unripe,13,207.61904758571427,86.80360984000001
Unripe,14,105.55555554,105.48844783999999
Unripe,15,451.77777776000005,63.182343489333334
Unripe,16,293.80952381857145,64.32185045428571
Unripe,17,508.8888888966667,43.20703386555555
Unripe,18,631.0749063774999,41.42720039
Unripe,19,301.5555555446667,119.83357846466667
Unripe,20,187.91666666875,85.00378095
