Filename,Dominant Color (R),Dominant Color (G),Dominant Color (B)
1.jpg,97,140,140
10.jpg,103,151,146
12.jpg,57,121,122
13.jpg,48,100,102
14.jpg,64,121,121
15.jpg,80,129,130
16.jpg,52,130,134
17.jpg,67,136,135
18.jpg,70,131,134
19.jpg,62,124,122
2.jpg,99,150,152
20.jpg,73,133,130
21.jpg,101,142,144
22.jpg,92,148,148
23.jpg,102,148,153
24.jpg,74,103,107
25.jpg,72,102,105
26.jpg,69,98,101
27.jpg,70,101,105
28.jpg,72,104,111
3.jpg,95,144,143
4.jpg,104,153,156
5.jpg,111,155,162
6.jpg,112,153,159
7.jpg,55,110,108
8.jpg,106,144,147
9.jpg,108,156,155
