Filename,Hue_mean,Saturation_mean,Value_mean
1.png,33.10175662,84.83264984,165.8022544
2.png,27.86629625,95.9578507,166.3507779
3.png,29.13143095,99.83052638,159.3036719
4.png,32.77922503,89.08176851,189.1057604
5.png,21.2368173,89.73464898,184.4443886
6.png,22.43921226,81.64375427,182.6833308
7.png,28.8966046,160.3011797,119.7003674
8.png,28.45487369,72.41397706,165.2141692
9.png,31.14480346,86.56205105,169.005182
10.png,37.45599458,82.24467973,165.4236815
12.png,24.83406905,187.6413632,141.0552461
13.png,34.57672689,169.598849,106.6743708
14.png,25.74278478,164.4621999,138.1705687
15.png,27.18933773,113.3055125,154.1394734
16.png,26.46000208,198.9733898,144.8679778
17.png,27.32462133,170.3589863,150.2523893
18.png,25.04431984,168.655872,138.5376213
19.png,25.61164356,182.6951545,118.6337849
20.png,26.03108228,172.4646319,127.167367
21.png,30.15027287,98.63387293,173.6412478
22.png,29.57631085,131.4960584,170.537767
23.png,26.68318494,106.7849669,166.9269606
24.png,40.32450063,63.94654407,139.4839807
25.png,38.98677473,69.76349018,142.181902
26.png,41.88296358,66.41430024,138.9495286
27.png,37.10036375,72.40991942,140.0067299
28.png,27.93304362,82.52992944,141.9372384
